time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0.3875,0.0015625,-0.00075691005336485,-0.00078842435660095,70.261599563981,-9.9900475127681e-05,-9.9900669291635e-05,0.0003329955600204,-0.00087768251395159,-0.00092657095243117,0.0019374478819839,-0.00087768251395159,-0.00092657095243117,0.0019374478819839,1609870,81880,236,8
0.3890625,0.0015625,-0.00076208709008531,-0.00079360320729555,70.332766352135,-0.00010000167730696,-0.00010000187148209,0.00033333285810059,-0.00088143044333921,-0.0009304929203673,0.0019452526730181,-0.00088143044333921,-0.0009304929203673,0.0019452526730181,1609870,81880,228,8
0.390625,0.0015625,-0.00076725794054864,-0.00079875422729941,70.403854211295,-0.00010010276727517,-0.00010010296132812,0.00033366978206135,-0.00088517850109888,-0.00093441484851401,0.001953057403071,-0.00088517850109888,-0.00093441484851401,0.001953057403071,1609870,81880,239,8
0.3921875,0.0015625,-0.0007724768024186,-0.00080391219842933,70.474863294646,-0.00010020374545752,-0.00010020393913532,0.0003340063327552,-0.00088892668669753,-0.00093833673728391,0.0019608620721438,-0.00088892668669753,-0.00093833673728391,0.0019608620721438,1609870,81880,223,8
0.39375,0.0015625,-0.00077769338681568,-0.00080912821032178,70.545793750906,-0.00010030461175448,-0.00010030480542875,0.00033434251088808,-0.00089267499921833,-0.00094225858727042,0.0019686666801936,-0.00089267499921833,-0.00094225858727042,0.0019686666801936,1609870,81880,226,8
0.3953125,0.0015625,-0.00078290194488466,-0.00081434686085072,70.616645784374,-0.00010040536650805,-0.0001004055602445,0.00033467831734131,-0.00089642343793204,-0.00094618039886657,0.0019764712273874,-0.00089642343793204,-0.00094618039886657,0.0019764712273874,1609870,81880,244,8
0.396875,0.0015625,-0.00078814617015445,-0.00081955656402484,70.687419530719,-0.00010050601013468,-0.00010050620365843,0.0003350137528035,-0.00090017200205397,-0.00095010217243562,0.0019842757135,-0.00090017200205397,-0.00095010217243562,0.0019842757135,1609870,81880,225,8
0.3984375,0.0015625,-0.00079340795545366,-0.0008248026676923,70.758115140904,-0.0001006065426987,-0.00010060673612584,0.00033534881802887,-0.0009039206908806,-0.00095402390851478,0.0019920801385997,-0.0009039206908806,-0.00095402390851478,0.0019920801385997,1609870,81880,240,8
0.4,0.0015625,-0.00079867084388059,-0.00083005212881847,70.828732807483,-0.00010070696444289,-0.0001007071577873,0.0003356835138596,-0.00090766950351026,-0.00095794560759079,0.0019998845027305,-0.00090766950351026,-0.00095794560759079,0.0019998845027305,1609870,81880,222,8
0.4015625,0.0015625,-0.00080395237776389,-0.00083529744630427,70.899272676813,-0.00010080727566914,-0.00010080746879041,0.0003360178410036,-0.00091141843983694,-0.00096186726944135,0.0020076888058224,-0.00091141843983694,-0.00096186726944135,0.0020076888058224,1609870,81880,247,8
0.403125,0.0015625,-0.00080924430651189,-0.00084057918791124,70.969734903966,-0.00010090747650114,-0.00010090766955965,0.00033635180024177,-0.00091516749857916,-0.00096578889517514,0.0020154930479353,-0.00091516749857916,-0.00096578889517514,0.0020154930479353,1609870,81880,241,8
0.4046875,0.0015625,-0.00081454521114742,-0.00084588502421918,71.040119644455,-0.00010100756717081,-0.0001010077602597,0.00033668539229159,-0.00091891667926531,-0.00096971048494639,0.0020232972290728,-0.00091891667926531,-0.00096971048494639,0.0020232972290728,1609870,81880,233,8
0.40625,0.0015625,-0.00081984829173575,-0.00085115282325978,71.110427069916,-0.00010110754797829,-0.00010110774084981,0.00033701861786849,-0.00092266598118198,-0.00097363203894846,0.0020311013491708,-0.00092266598118198,-0.00097363203894846,0.0020311013491708,1609870,81880,229,8
